name,bookings,rating,reviews,price,cuisine,location
Bandit,117,4.6 stars out of 5,Exceptional,2,American,West Loop
Le Colonial - Chicago,24,4.8 stars out of 5,Exceptional,3,Vietnamese,Gold Coast / Streeterville
Bar Siena,146,4.6 stars out of 5,Exceptional,2,Italian,West Loop
Piccolo Sogno,65,4.8 stars out of 5,Exceptional,2,Italian,River West
Prime & Provisions Steakhouse,66,4.7 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Summer House Santa Monica,141,4.7 stars out of 5,Exceptional,2,American,Lincoln Park
Earls Kitchen + Bar - Lincoln Park,26,4.6 stars out of 5,Exceptional,2,"Global, International",Lincoln Park
Café Ba-Ba-Reeba,71,4.8 stars out of 5,Exceptional,2,Tapas / Small Plates,Lincoln Park
Eduardo's Enoteca,8,4.6 stars out of 5,Exceptional,2,Italian,Gold Coast / Streeterville
Recess,59,4.6 stars out of 5,Exceptional,3,American,West Loop
Willow Room,35,4.8 stars out of 5,Exceptional,2,American,Lincoln Park
Parlor Pizza Bar - Wicker Park,116,4.8 stars out of 5,Exceptional,2,American,Bucktown / Wicker Park
Ada Street,12,4.8 stars out of 5,Exceptional,3,American,Bucktown / Wicker Park
Homeslice,117,4.8 stars out of 5,Exceptional,2,Pizzeria,Lincoln Park
The Dawson,63,4.7 stars out of 5,Exceptional,3,American,River West
Parlor Pizza Bar - West Loop,120,4.8 stars out of 5,Exceptional,2,American,West Loop
Macello,8,4.7 stars out of 5,Exceptional,2,Italian,West Loop
Cabra,57,4.7 stars out of 5,Exceptional,3,Peruvian,West Loop
Mart Anthony's,8,4.8 stars out of 5,Exceptional,2,Italian,West Loop
Swift & Sons,29,4.7 stars out of 5,Exceptional,4,Steakhouse,West Loop
Trattoria Gianni,5,4.7 stars out of 5,Exceptional,2,Italian,Lincoln Park
Siena Tavern,68,4.8 stars out of 5,Exceptional,2,Italian,River North (Chicago)
Bar Takito - West Loop,9,4.5 stars out of 5,Awesome,2,Latin American,West Loop
LUXBAR,41,4.8 stars out of 5,Exceptional,2,Comfort Food,Gold Coast / Streeterville
Quality Crab & Oyster Bah,16,4.8 stars out of 5,Exceptional,3,Seafood,Lincoln Park
Carmine's Chicago,67,4.7 stars out of 5,Exceptional,3,Italian,Gold Coast / Streeterville
Tanta,25,4.8 stars out of 5,Exceptional,3,Peruvian,River North (Chicago)
Quartino,43,4.7 stars out of 5,Exceptional,2,Italian,River North (Chicago)
STK – Chicago,47,4.4 stars out of 5,Awesome,3,Steakhouse,River North (Chicago)
Chicago Chop House,27,4.5 stars out of 5,Awesome,4,Steakhouse,River North (Chicago)
King Crab House,15,4.5 stars out of 5,Awesome,2,Seafood,Lincoln Park
Blue Door Kitchen & Garden,26,4.7 stars out of 5,Exceptional,2,American,Gold Coast / Streeterville
Formento's,37,4.6 stars out of 5,Exceptional,3,Italian,West Loop
Bistronomic,19,4.7 stars out of 5,Exceptional,2,French,Gold Coast / Streeterville
Roka Akor - Chicago,9,4.8 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Smith & Wollensky Steakhouse - Chicago,42,4.7 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Joe's Imports,28,4.7 stars out of 5,Exceptional,3,Wine Bar,West Loop
Rooftop at Nobu Hotel,25,4.6 stars out of 5,Exceptional,4,Creative Japanese,West Loop
Shaw's Crab House - Chicago,49,4.7 stars out of 5,Exceptional,3,Seafood,River North (Chicago)
Kaiser Tiger,85,4.7 stars out of 5,Exceptional,2,American,West Loop
The Hampton Social - Streeterville,76,4.7 stars out of 5,Exceptional,3,Contemporary American,Gold Coast / Streeterville
True Food Kitchen - Chicago,14,4.8 stars out of 5,Exceptional,2,American,River North (Chicago)
Gene and Georgetti,6,4.7 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Mon Ami Gabi,20,4.8 stars out of 5,Exceptional,2,French,Lincoln Park
HUB 51 and Ben Pao,22,4.6 stars out of 5,Exceptional,2,American,River North (Chicago)
Nonnina,53,4.7 stars out of 5,Exceptional,2,Italian,River North (Chicago)
Geja's Café,10,4.7 stars out of 5,Exceptional,4,Fondue,Lincoln Park
Athena Restaurant,40,4.8 stars out of 5,Exceptional,2,Greek,Greektown
Taxim,12,4.5 stars out of 5,Awesome,2,Greek,Bucktown / Wicker Park
Chez Moi,3,4.7 stars out of 5,Exceptional,2,French,Lincoln Park
Marvin's Food & Fuel,7,4.7 stars out of 5,Exceptional,2,American,West Loop
Chop Shop,8,4.7 stars out of 5,Exceptional,3,Contemporary American,Bucktown / Wicker Park
Fogo de Chao - Chicago,85,4.4 stars out of 5,Awesome,3,Brazilian Steakhouse,Downtown / Loop
Osteria Via Stato,12,4.7 stars out of 5,Exceptional,3,Italian,River North (Chicago)
Osteria Rusticana,9,4.9 stars out of 5,Exceptional,2,Italian,Bucktown / Wicker Park
Tanoshii - West Loop,11,4.6 stars out of 5,Exceptional,3,Japanese,West Loop
Azul,10,4.4 stars out of 5,Awesome,3,Seafood,Goose Island
Duck Duck Goat,1,4.8 stars out of 5,Exceptional,2,Chinese,West Loop
