name,bookings,rating,reviews,price,cuisine,location
Mikaza Sushi,1,4.1 stars out of 5,Excellent,3,Sushi,Downtown
Sakana Sushi Lounge DTLA,3,4.6 stars out of 5,Exceptional,3,Japanese,Downtown
The Palm Los Angeles,1,4.5 stars out of 5,Awesome,2,Steakhouse,Downtown
El Cid,1,3.9 stars out of 5,Excellent,3,Spanish,Silver Lake
Here and Now,1,4.8 stars out of 5,Exceptional,2,Gastro Pub,Downtown
The Good Good - Vegan Kitchen + Bakeshop,NA,3 stars out of 5,Good,2,Vegan,Hollywood
Mazal,NA,5 stars out of 5,Exceptional,2,Israeli,Echo Park
Spire 73,NA,4.3 stars out of 5,Awesome,4,Californian,Downtown
M Grill,2,4.8 stars out of 5,Exceptional,3,Brazilian Steakhouse,Mid-Wilshire
BRERA Ristorante,NA,4.6 stars out of 5,Exceptional,3,Italian,Downtown
The Factory Kitchen - Los Angeles,NA,4.7 stars out of 5,Exceptional,2,Italian,Downtown
Industriel,NA,4.1 stars out of 5,Excellent,2,American,Downtown
Perch LA,NA,4.7 stars out of 5,Exceptional,3,French American,Downtown
Takami Sushi & Robata Restaurant,NA,4.5 stars out of 5,Awesome,3,Japanese,Downtown
Openaire,2,4.4 stars out of 5,Awesome,3,Californian,Koreatown
Fleming's Steakhouse - LA,NA,4.6 stars out of 5,Exceptional,3,Steak,Downtown
Drago Centro,NA,4.6 stars out of 5,Exceptional,3,Italian,Downtown
Faith & Flower,2,4.6 stars out of 5,Exceptional,2,Californian,Downtown
Rooftop at Wayfarer Hotel DTLA,NA,4.3 stars out of 5,Awesome,3,American,Downtown
Veranda,NA,4.4 stars out of 5,Awesome,2,Mexican,Downtown
Nick & Stef’s Steakhouse - Los Angeles,NA,4.5 stars out of 5,Awesome,3,Steakhouse,Downtown
Broken Shaker - Los Angeles,NA,4.3 stars out of 5,Awesome,2,Californian,Downtown
HATCH Yakitori + Bar,NA,4.5 stars out of 5,Awesome,3,Japanese,Downtown
Morton's The Steakhouse - Los Angeles,6,4.6 stars out of 5,Exceptional,4,Steakhouse,Downtown
Rossoblu,NA,4.7 stars out of 5,Exceptional,3,Italian,Downtown
Bacari Adams,NA,4.6 stars out of 5,Exceptional,2,Tapas / Small Plates,Downtown
Bavel,1,4.8 stars out of 5,Exceptional,3,Middle Eastern,Downtown
Zinqué - DTLA,NA,4.6 stars out of 5,Exceptional,2,French,Downtown
Bar Amá,NA,4.6 stars out of 5,Exceptional,2,Tex-Mex,Downtown
Upstairs at The Ace Hotel,NA,4.5 stars out of 5,Awesome,2,American,Downtown
Ombu Grill,NA,4.7 stars out of 5,Exceptional,3,Korean,Downtown
Marco Polo at Silver Lake Pool & Inn,NA,4.6 stars out of 5,Exceptional,2,Italian,Silver Lake
Glance Patio,NA,4.2 stars out of 5,Awesome,2,American,Downtown
Orsa & Winston,NA,4.7 stars out of 5,Exceptional,4,Japanese,Downtown
The Venue,NA,4.6 stars out of 5,Exceptional,3,American,Downtown
Home Restaurant - Los Feliz,1,4.8 stars out of 5,Exceptional,2,American,Los Feliz
Best Girl - Ace Hotel Downtown Los Angeles,NA,4.5 stars out of 5,Awesome,3,American,Downtown
Kali,NA,4.7 stars out of 5,Exceptional,3,Californian,Hollywood
INKO NITO Arts District,NA,4.4 stars out of 5,Awesome,3,Japanese,Downtown
Fogo de Chao - Los Angeles,NA,4.2 stars out of 5,Awesome,3,Brazilian Steakhouse,Downtown
L’APPART,NA,4.7 stars out of 5,Exceptional,2,Contemporary French / American,Downtown
All Day Baby,NA,4.7 stars out of 5,Exceptional,2,American,Silver Lake
Poppy + Rose,NA,4.6 stars out of 5,Exceptional,2,American,Flower District
71Above,NA,4.7 stars out of 5,Exceptional,4,Contemporary American,Downtown
Marino Ristorante,NA,4.8 stars out of 5,Exceptional,3,Italian,Hollywood
Q,NA,4.3 stars out of 5,Awesome,4,Sushi,Downtown
Cara,NA,4.8 stars out of 5,Exceptional,3,Farm-to-table,Los Feliz
Checkers Downtown,NA,3.2 stars out of 5,Good,3,Californian,Downtown
Little Sister - Downtown,NA,4.6 stars out of 5,Exceptional,2,Southeast Asian,Downtown
Rappahannock Oyster Bar @ ROW DTLA,NA,4.5 stars out of 5,Awesome,3,Seafood,Downtown
Water Grill - Downtown,1,4.6 stars out of 5,Exceptional,3,Seafood,Downtown
Casita Del Campo,NA,4.6 stars out of 5,Exceptional,2,Mexican,Los Feliz
Pali Wine Co. - DTLA,NA,4.7 stars out of 5,Exceptional,2,Wine Bar,Downtown
Buffalo Wild Wings - Koreatown,NA,4.6 stars out of 5,Exceptional,2,Sports Bar,Koreatown
Izakaya Bizan,NA,NA,NA,3,Japanese,Downtown
Boomtown Brewery,NA,4.8 stars out of 5,Exceptional,3,Brewery,Little Tokyo
Saviar,NA,NA,NA,4,Wine Bar,Echo Park
LA Prime at The Westin Bonaventure Hotel,NA,4.4 stars out of 5,Awesome,4,Steakhouse,Downtown
LOCALA Kitchen + Bar,NA,4.5 stars out of 5,Awesome,2,Californian,Downtown
El Caserio Silver Lake,NA,3.8 stars out of 5,Excellent,2,Latin American,Silver Lake
India’s Clay Pit - Silver Lake,NA,NA,NA,2,Indian,Silver Lake
Redline,NA,NA,NA,2,Gastro Pub,Downtown
Providence,NA,4.8 stars out of 5,Exceptional,4,Seafood,Hollywood
Marouch Restaurant,NA,4.9 stars out of 5,Exceptional,2,Lebanese,Hollywood
Katsuya - L.A. Live,NA,4.5 stars out of 5,Awesome,3,Japanese,Downtown
InterContinental Los Angeles Downtown - Holiday Dining,NA,NA,NA,4,Californian,Downtown
Frogtown Brewery,NA,4.7 stars out of 5,Exceptional,2,Brewery,Los Feliz
Cosa Buona,NA,4.7 stars out of 5,Exceptional,3,Italian,Echo Park
Harbor House,NA,3.9 stars out of 5,Excellent,2,Californian,Downtown
Le Comptoir,NA,5 stars out of 5,Exceptional,4,American,Downtown
Metropole Bar and Kitchen,NA,4.4 stars out of 5,Awesome,2,Californian,Downtown
Dekkadance,NA,4 stars out of 5,Excellent,3,International,Downtown
Miro,NA,3.8 stars out of 5,Excellent,3,Italian,Downtown
Lakeview Bistro at The Westin Bonaventure Hotel,NA,4.3 stars out of 5,Awesome,2,American,Downtown
Sage Vegan Bistro - Echo Park,NA,4.8 stars out of 5,Exceptional,2,Vegetarian / Vegan,Echo Park
WP24 by Wolfgang Puck,NA,4.7 stars out of 5,Exceptional,4,Chinese,Downtown
Bonavista Revolving Lounge at The Westin Bonaventure Hotel,NA,3.3 stars out of 5,Good,3,Contemporary American,Downtown
Grand Cafe @ Omni Los Angeles,NA,4.3 stars out of 5,Awesome,3,Californian,Downtown
Wolfgang Puck Bar & Grill - LA Live,NA,3.9 stars out of 5,Excellent,3,American,Downtown
Breva,NA,4.3 stars out of 5,Awesome,3,American,Downtown
"The Restaurant at The Standard, Downtown LA",NA,3.7 stars out of 5,Very Good,2,Contemporary American,Downtown
Mr. Masala,NA,3.7 stars out of 5,Very Good,3,Indian,Downtown
Boca at The Conga Room,NA,3.6 stars out of 5,Very Good,2,Traditional Spanish,Downtown
Public School - Downtown Los Angeles,NA,4.5 stars out of 5,Awesome,2,American,Downtown
The Queensberry,NA,NA,NA,2,Contemporary American,Downtown
NIXO patio lounge,NA,3.4 stars out of 5,Very Good,2,Californian,Downtown
DISTRICT,NA,4.3 stars out of 5,Awesome,2,Californian,Downtown
El Compadre - Echo Park,NA,4.4 stars out of 5,Awesome,2,Mexican,Echo Park
Tsubaki,NA,4.7 stars out of 5,Exceptional,3,Japanese,Echo Park
Otium,NA,4.6 stars out of 5,Exceptional,3,Contemporary American,Downtown
Smeraldi's Restaurant,NA,3.9 stars out of 5,Excellent,2,American,Downtown
Vespaio,NA,4.2 stars out of 5,Awesome,3,Italian,Downtown
Rendezvous Court at the Biltmore Los Angeles,NA,3.9 stars out of 5,Excellent,4,French,Downtown
Rendezvous Court Traditional Afternoon Tea at the Biltmore,NA,4.3 stars out of 5,Awesome,4,Afternoon Tea,Downtown
Bar Jackalope,NA,4.7 stars out of 5,Exceptional,2,Bar / Lounge / Bottle Service,Downtown
