name,bookings,rating,reviews,price,cuisine,location
Liberty Kitchen and Oysterette,40,4.7 stars out of 5,Exceptional,3,Seafood,River Oaks
Perry's Steakhouse & Grille - River Oaks,39,4.6 stars out of 5,Exceptional,4,Steakhouse,River Oaks
MAX's Wine Dive Houston - Washington Ave.,40,4.8 stars out of 5,Exceptional,2,American,Heights / Washington
Brenner's Steakhouse on the Bayou,58,4.6 stars out of 5,Exceptional,2,Steakhouse,River Oaks
Peli Peli South African Kitchen - Galleria,39,4.5 stars out of 5,Awesome,2,Seafood,Galleria / Uptown
MAX's Wine Dive Houston - Fairview St.,48,4.5 stars out of 5,Awesome,2,American,Midtown / Montrose
The Federal Grill - Shepherd,28,4.8 stars out of 5,Exceptional,2,American,Heights / Washington
The Blue Fish - Washington,12,4.4 stars out of 5,Awesome,2,Japanese,Heights / Washington
Brasserie 19,46,4.7 stars out of 5,Exceptional,3,French,River Oaks
Laurenzo's Restaurant,13,4.6 stars out of 5,Exceptional,2,American,Heights / Washington
La Griglia - Houston,28,4.7 stars out of 5,Exceptional,2,Italian,River Oaks
Le Colonial - Houston,94,4.8 stars out of 5,Exceptional,2,Vietnamese,Galleria / Uptown
State of Grace,33,4.9 stars out of 5,Exceptional,3,Contemporary Southern,Upper Kirby / Shepherd Corridor
Uchi Houston,105,4.9 stars out of 5,Exceptional,3,Sushi,Midtown / Montrose
a'Bouzy,100,4.7 stars out of 5,Exceptional,2,Contemporary French / American,River Oaks
Cyclone Anaya's -  Durham,4,4.8 stars out of 5,Exceptional,2,Tex-Mex,Heights / Washington
Armandos,25,4.7 stars out of 5,Exceptional,3,Mexican,Upper Kirby / Shepherd Corridor
Tony Mandola's,16,4.6 stars out of 5,Exceptional,3,Seafood,River Oaks
Cadillac Bar - Houston,5,4.2 stars out of 5,Awesome,2,Mexican,Heights / Washington
Eddie V's - West Ave,64,4.7 stars out of 5,Exceptional,3,Seafood,River Oaks
Ouisie's Table,33,4.7 stars out of 5,Exceptional,2,Southern,Galleria / Uptown
B&B Butchers & Restaurant - Houston,59,4.8 stars out of 5,Exceptional,3,Steakhouse,Heights / Washington
Mastro's Steakhouse - Houston,84,4.7 stars out of 5,Exceptional,4,Steakhouse,Galleria / Uptown
Toulouse - Houston,84,4.7 stars out of 5,Exceptional,3,French,River Oaks
Etoile Cuisine Et Bar,21,4.8 stars out of 5,Exceptional,2,French,Galleria / Uptown
Roka Akor - Houston,47,4.8 stars out of 5,Exceptional,3,Steakhouse,River Oaks
Rainbow Lodge,41,4.7 stars out of 5,Exceptional,3,American,Heights / Washington
Kiran's,22,4.7 stars out of 5,Exceptional,3,Indian,Upper Kirby / Shepherd Corridor
Maison Pucha Bistro,9,4.7 stars out of 5,Exceptional,3,French,Heights / Washington
Bistro Menil,18,4.7 stars out of 5,Exceptional,2,European,Midtown / Montrose
Willie G's,49,4.6 stars out of 5,Exceptional,2,Steakhouse,Galleria / Uptown
Churrascos - River Oaks,8,4.4 stars out of 5,Awesome,2,Latin American,Upper Kirby / Shepherd Corridor
Sorrento Ristorante Italiano,15,4.8 stars out of 5,Exceptional,3,Italian,Midtown / Montrose
