name,bookings,rating,reviews,price,cuisine,location
Siena Tavern,65,4.8 stars out of 5,Exceptional,2,Italian,River North (Chicago)
Azul,25,4.4 stars out of 5,Awesome,3,Seafood,Goose Island
STK – Chicago,45,4.4 stars out of 5,Awesome,3,Steakhouse,River North (Chicago)
Summer House Santa Monica,128,4.7 stars out of 5,Exceptional,2,American,Lincoln Park
Café Ba-Ba-Reeba,49,4.8 stars out of 5,Exceptional,2,Tapas / Small Plates,Lincoln Park
Earls Kitchen + Bar - Lincoln Park,15,4.6 stars out of 5,Exceptional,2,"Global, International",Lincoln Park
Parlor Pizza Bar - Wicker Park,86,4.8 stars out of 5,Exceptional,2,American,Bucktown / Wicker Park
Willow Room,25,4.8 stars out of 5,Exceptional,2,American,Lincoln Park
Homeslice,93,4.8 stars out of 5,Exceptional,2,Pizzeria,Lincoln Park
The Dawson,61,4.7 stars out of 5,Exceptional,3,American,River West
Cabra,20,4.7 stars out of 5,Exceptional,3,Peruvian,West Loop
Swift & Sons,39,4.7 stars out of 5,Exceptional,4,Steakhouse,West Loop
Bar Siena,101,4.6 stars out of 5,Exceptional,2,Italian,West Loop
Le Colonial - Chicago,21,4.8 stars out of 5,Exceptional,3,Vietnamese,Gold Coast / Streeterville
Quartino,23,4.7 stars out of 5,Exceptional,2,Italian,River North (Chicago)
Quality Crab & Oyster Bah,10,4.8 stars out of 5,Exceptional,3,Seafood,Lincoln Park
Carmine's Chicago,46,4.7 stars out of 5,Exceptional,3,Italian,Gold Coast / Streeterville
Formento's,23,4.6 stars out of 5,Exceptional,3,Italian,West Loop
Blue Door Kitchen & Garden,40,4.7 stars out of 5,Exceptional,2,American,Gold Coast / Streeterville
King Crab House,2,4.5 stars out of 5,Awesome,2,Seafood,Lincoln Park
Bistronomic,7,4.7 stars out of 5,Exceptional,2,French,Gold Coast / Streeterville
Prime & Provisions Steakhouse,63,4.7 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Roka Akor - Chicago,18,4.8 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Smith & Wollensky Steakhouse - Chicago,47,4.7 stars out of 5,Exceptional,3,Steakhouse,River North (Chicago)
Bar Cargo,20,4.8 stars out of 5,Exceptional,2,Pizza Bar,River North (Chicago)
