name,bookings,rating,reviews,price,cuisine,location
Bellini Grill,10,4.5 stars out of 5,Awesome,3,Italian,Rittenhouse Square
Parc,224,4.8 stars out of 5,Exceptional,2,French,Rittenhouse Square
Barbuzzo Restaurant,57,4.7 stars out of 5,Exceptional,2,Mediterranean,Center City
El Vez,70,4.7 stars out of 5,Exceptional,2,Mexican / Southwestern,Center City
The Love,106,4.8 stars out of 5,Exceptional,3,American,Rittenhouse Square
Talula’s Garden,95,4.8 stars out of 5,Exceptional,4,American,Washington Square
Charlie was a sinner.,77,4.7 stars out of 5,Exceptional,3,Tapas / Small Plates,Center City
Bud & Marilyn's,87,4.7 stars out of 5,Exceptional,2,American,Center City
The Dandelion,75,4.8 stars out of 5,Exceptional,2,Gastro Pub,Center City
Lolita Restaurant,35,4.5 stars out of 5,Awesome,3,Mexican,Center City
Harper's Garden,34,4.6 stars out of 5,Exceptional,2,American,Center City
Devon Seafood Grill - Philadelphia,50,4.5 stars out of 5,Awesome,2,Seafood,Rittenhouse Square
Barclay Prime,47,4.8 stars out of 5,Exceptional,4,Steakhouse,Rittenhouse Square
Estia - Philadelphia,8,4.7 stars out of 5,Exceptional,4,Greek,Center City
Morimoto,18,4.7 stars out of 5,Exceptional,4,Japanese,Center City
Tradesman’s Philly,83,4.4 stars out of 5,Awesome,2,Barbecue,Center City
Butcher & Singer,24,4.7 stars out of 5,Exceptional,4,Steak,Center City
Tuna Bar,29,4.8 stars out of 5,Exceptional,3,Japanese,Old City
La Fontana Della Citta,37,4.5 stars out of 5,Awesome,2,Italian,Rittenhouse Square
Buddakan - Philadelphia,49,4.7 stars out of 5,Exceptional,3,Asian,Old City
Bar Bombon,27,4.7 stars out of 5,Exceptional,2,Vegan,Center City
Ruth's Chris Steak House - Philadelphia,60,4.4 stars out of 5,Awesome,4,Steakhouse,Rittenhouse Square
Zama,20,4.7 stars out of 5,Exceptional,3,Japanese,Rittenhouse Square
P.J. Clarke's at the Curtis,14,4.4 stars out of 5,Awesome,3,American,Old City
Bleu Sushi,6,4.6 stars out of 5,Exceptional,2,Japanese,Center City
Del Frisco's Grille - Philadelphia,14,4.3 stars out of 5,Awesome,2,Steakhouse,Rittenhouse Square
El Rey - Philadelphia,26,4.6 stars out of 5,Exceptional,2,American,Chestnut Hill
Pietro's Italian - Walnut,22,4.7 stars out of 5,Exceptional,2,Italian,Center City
Positano Coast by Aldo Lamberti,62,4.6 stars out of 5,Exceptional,2,Italian,Old City
La Viola - East,5,4.6 stars out of 5,Exceptional,2,Italian,Rittenhouse Square
The Greenhouses at Harper's Garden,57,4.9 stars out of 5,Exceptional,2,American,Center City
Barra Rossa – Philadelphia,3,4.2 stars out of 5,Awesome,2,Italian,Center City
Hawthornes,81,4.7 stars out of 5,Exceptional,2,American,Bella Vista
1701 Locust,11,4.6 stars out of 5,Exceptional,4,Steakhouse,Center City
Panorama,21,4.6 stars out of 5,Exceptional,3,Italian,Old City
Tria Rittenhouse,30,4.7 stars out of 5,Exceptional,2,Wine Bar,Rittenhouse Square
Pumpkin BYOB,6,4.8 stars out of 5,Exceptional,2,Contemporary American,Rittenhouse Square
La Viola - West,4,4.3 stars out of 5,Awesome,2,Italian,Rittenhouse Square
Fare Restaurant,39,4.5 stars out of 5,Awesome,2,Contemporary American,Art Museum
Tria Wash West,30,4.8 stars out of 5,Exceptional,2,Wine Bar,Washington Square
Veda,6,4.4 stars out of 5,Awesome,3,Indian,Center City
Thanal Indian Tavern,2,4.7 stars out of 5,Exceptional,2,Indian,Center City
Trattoria Carina,23,4.8 stars out of 5,Exceptional,3,Italian,Center City
Bistro Romano,9,4.8 stars out of 5,Exceptional,2,Italian,Society Hill
Spasso Italian Grill - Philadelphia,2,4.6 stars out of 5,Exceptional,2,Italian,Old City
Jerry's Bar,39,4.7 stars out of 5,Exceptional,2,American,Northern Liberties
Tio Flores,28,4.5 stars out of 5,Awesome,2,Mexican,Center City
Sueno,18,4 stars out of 5,Excellent,2,Mexican,Center City
La Calaca Feliz,17,4.8 stars out of 5,Exceptional,2,Mexican,Art Museum
Yakitori Boy Japas  - Philadelphia,NA,4.5 stars out of 5,Awesome,2,Japanese,"Philadelphia, PA"
Gabi,NA,4.5 stars out of 5,Awesome,2,French,Center City
Chinatown Beer Garden,NA,4.5 stars out of 5,Awesome,2,Beer Garden,"Philadelphia, PA"
Bank & Bourbon,NA,4.1 stars out of 5,Excellent,2,American,Center City
Hard Rock Cafe - Philadelphia,1,4.2 stars out of 5,Awesome,2,American,"Philadelphia, PA"
Nom Wah Philadelphia,NA,4.6 stars out of 5,Exceptional,2,Chinese,Center City
Kabuki Sushi,NA,4 stars out of 5,Excellent,2,Sushi,Center City
Sabroso + Sorbo,NA,3.7 stars out of 5,Very Good,3,Spanish,Center City
aMuse- Le Meridien Hotel- Philadelphia,NA,3.4 stars out of 5,Very Good,2,Contemporary French / American,Center City
Thirteen - Philadelphia Marriott,NA,3.5 stars out of 5,Very Good,2,Contemporary American,Center City
The Capital Grille - Philadelphia,5,4.6 stars out of 5,Exceptional,4,Steak,Center City
Del Frisco's Double Eagle Steakhouse - Philadelphia,NA,4.6 stars out of 5,Exceptional,2,Steakhouse,Center City
Continental Midtown,NA,4.7 stars out of 5,Exceptional,2,American,Center City
Fogo de Chao - Philadelphia,10,4.4 stars out of 5,Awesome,3,Brazilian Steakhouse,Center City
Osteria,1,4.7 stars out of 5,Exceptional,3,Italian,Art Museum
Ocean Prime - Philadelphia,5,4.6 stars out of 5,Exceptional,3,Seafood,Center City
Chima Steakhouse - Philadelphia,17,4.6 stars out of 5,Exceptional,3,Steakhouse,Center City
SOUTH Restaurant & Jazz Club,NA,4.7 stars out of 5,Exceptional,3,Contemporary Southern,Center City
Urban Farmer- Philadelphia,15,4.6 stars out of 5,Exceptional,3,Steakhouse,Center City
McCormick & Schmick's Seafood - Philadelphia,3,4 stars out of 5,Excellent,3,Seafood,Center City
Con Murphy's Irish Pub,NA,4.6 stars out of 5,Exceptional,2,American,Center City
Jones,NA,4.6 stars out of 5,Exceptional,2,American,Center City
Steak 48 -Philadelphia,92,4.9 stars out of 5,Exceptional,4,Steakhouse,Rittenhouse Square
Caribou Cafe,NA,4.4 stars out of 5,Awesome,2,French,Center City
Amada PHL,NA,4.7 stars out of 5,Exceptional,3,Spanish,Old City
The Butcher Bar,36,4.6 stars out of 5,Exceptional,2,American,Center City
Mercato,7,4.6 stars out of 5,Exceptional,3,Italian,Center City
Aqimero,8,4.4 stars out of 5,Awesome,2,Contemporary Latin,Center City
Chops,7,4.5 stars out of 5,Awesome,3,Steakhouse,Center City
JG SkyHigh,NA,4.8 stars out of 5,Exceptional,3,French,Center City
Spice Finch,NA,4.6 stars out of 5,Exceptional,3,Mediterranean,Rittenhouse Square
The Tavern,NA,4.6 stars out of 5,Exceptional,2,Contemporary American,Center City
Melograno,NA,4.7 stars out of 5,Exceptional,2,Italian,Rittenhouse Square
Village Whiskey PHL,4,4.7 stars out of 5,Exceptional,2,American,Rittenhouse Square
City Tap House - Logan Square,NA,4.6 stars out of 5,Exceptional,2,American,Center City
Moshulu,NA,4.5 stars out of 5,Awesome,2,Contemporary American,"Philadelphia, PA"
Aki Nom Nom Sushi & Ramen,NA,4.4 stars out of 5,Awesome,2,Sushi,Center City
Square 1682,NA,4.5 stars out of 5,Awesome,2,American,Center City
Vintage Wine Bar & Bistro,NA,4.2 stars out of 5,Awesome,2,French American,Center City
The Olde Bar,1,4.5 stars out of 5,Awesome,2,Seafood,Old City
"Gyu-Kaku - Philadelphia, PA",NA,4.6 stars out of 5,Exceptional,2,Japanese,Art Museum
Saloon Restaurant,NA,4.8 stars out of 5,Exceptional,4,Italian,"Philadelphia, PA"
D'Angelo's Ristorante Italiano,7,4.5 stars out of 5,Awesome,2,Italian,Rittenhouse Square
Red Owl Tavern,3,4.3 stars out of 5,Awesome,2,American,Old City
Leda & The Swan,NA,4.6 stars out of 5,Exceptional,3,Bar / Lounge / Bottle Service,Center City
BRU Craft & Wurst,NA,3.8 stars out of 5,Excellent,2,German,Center City
Pinefish,5,4.1 stars out of 5,Excellent,3,Seafood,Center City
Ristorante La Buca,NA,4.6 stars out of 5,Exceptional,3,Italian,Center City
Cicala at the Divine Lorraine,NA,4.5 stars out of 5,Awesome,3,Italian,Center City
Porcini - Philadelphia,2,4.6 stars out of 5,Exceptional,3,Italian,Center City
Royal Boucherie,NA,4.5 stars out of 5,Awesome,3,French,Old City
Urban Village Brewing Company,26,4.8 stars out of 5,Exceptional,2,American,Northern Liberties
Ambrosia BYOB,34,4.8 stars out of 5,Exceptional,2,Italian,Rittenhouse Square
Bistro La Baia,5,4.6 stars out of 5,Exceptional,2,Italian,Center City
Entree BYOB,7,4.6 stars out of 5,Exceptional,2,Contemporary American,Rittenhouse Square
Marmont Steakhouse,12,4.2 stars out of 5,Awesome,2,Steakhouse,Old City
SouthGate,15,4.8 stars out of 5,Exceptional,2,Contemporary Korean,Rittenhouse Square
LaScala's Fire - Philadelphia,6,4.6 stars out of 5,Exceptional,2,Italian,Old City
Lou Bird's,27,4.3 stars out of 5,Awesome,3,American,Center City
L'Anima,14,4.8 stars out of 5,Exceptional,2,Italian,South Philly
Tomo Sushi & Ramen,8,4.9 stars out of 5,Exceptional,2,Japanese,Old City
White Dog Cafe - University City,17,4.7 stars out of 5,Exceptional,2,Contemporary American,University City
Añejo Philadelphia,27,4.6 stars out of 5,Exceptional,3,Mexican,Fishtown
Apricot Stone,7,4.7 stars out of 5,Exceptional,2,Mediterranean,Fishtown
Gnocchi,5,4.7 stars out of 5,Exceptional,2,Italian,Queen Village
kenLOVES Byob,4,4.8 stars out of 5,Exceptional,2,American,Northern Liberties
Germantown Garden,24,4.4 stars out of 5,Awesome,2,American,Fishtown
Vista Peru,4,4.4 stars out of 5,Awesome,2,Peruvian,Old City
SET NoLibs,77,4.6 stars out of 5,Exceptional,2,Comfort Food,Northern Liberties
Bing Bing Dim Sum,14,4.9 stars out of 5,Exceptional,2,Chinese,East Passyunk Avenue
Germantown Garden Grill - Poolside,45,4.5 stars out of 5,Awesome,2,American,Northern Liberties
Cheu Fishtown,13,4.8 stars out of 5,Exceptional,2,Japanese,Fishtown
Pietro's Italian - South,1,4.6 stars out of 5,Exceptional,2,Italian,South Philly
Las Cazuelas,2,4.4 stars out of 5,Awesome,2,Mexican,Northern Liberties
O Sole Mio Restaurant - Philadelphia,2,4.6 stars out of 5,Exceptional,3,Italian,South Philly
Noir,10,4.7 stars out of 5,Exceptional,2,Italian,East Passyunk Avenue
Paddy Whacks Irish Sports Pub,2,5 stars out of 5,Exceptional,2,American,Society Hill
Moonshine Philly,7,4.6 stars out of 5,Exceptional,2,Contemporary American,South Philly
Sutton’s,5,4.6 stars out of 5,Exceptional,2,American,Center City
Flannel,1,4.4 stars out of 5,Awesome,2,American,South Philly
Blind Barber,NA,4.7 stars out of 5,Exceptional,2,Contemporary American,Center City
Max Brenner - Philadelphia,NA,4.3 stars out of 5,Awesome,2,Comfort Food,Center City
Liberte Lounge,NA,4.5 stars out of 5,Awesome,2,French,Center City
Picanha Brazilian Steakhouse - Center City,NA,4.3 stars out of 5,Awesome,3,Brazilian Steakhouse,Center City
Effie's Restaurant,9,4.5 stars out of 5,Awesome,2,Greek,Center City
La Peg,NA,4.3 stars out of 5,Awesome,2,American,Old City
Ralph's Italian Restaurant,1,4.6 stars out of 5,Exceptional,2,Italian,South Philly
The Twisted Tail,NA,4.6 stars out of 5,Exceptional,2,American,Society Hill
Scarpetta,1,4.6 stars out of 5,Exceptional,3,Italian,Rittenhouse Square
Jack's Firehouse,NA,4.5 stars out of 5,Awesome,3,American,"Philadelphia, PA"
Better Vibes Brunch Cafe,NA,4.4 stars out of 5,Awesome,2,American,Center City
Vernick Fish,NA,4.8 stars out of 5,Exceptional,4,Seafood,Center City
Koreana,1,NA,NA,2,Korean,Rittenhouse Square
La Famiglia Ristorante,4,4.8 stars out of 5,Exceptional,3,Italian,Old City
Jean-Georges - Four Seasons Philadelphia,1,4.7 stars out of 5,Exceptional,4,American,Center City
Cotoletta Fitler Square,8,4.6 stars out of 5,Exceptional,2,Italian,Rittenhouse Square
Heritage,NA,4.6 stars out of 5,Exceptional,2,American,Northern Liberties
Philadelphia Distilling,NA,4.9 stars out of 5,Exceptional,3,American,Fishtown
Xochitl - Philadelphia,6,4.5 stars out of 5,Awesome,2,Mexican,Center City
Devil's Alley – Philadelphia,NA,4.3 stars out of 5,Awesome,2,Comfort Food,Center City
Front Street Cafe,NA,4.6 stars out of 5,Exceptional,2,American,Northern Liberties
Fuji Mountain Japanese Restaurant,NA,4.5 stars out of 5,Awesome,2,Japanese,Rittenhouse Square
Chart House Restaurant - Philadelphia,NA,4.5 stars out of 5,Awesome,3,Seafood,"Philadelphia, PA"
Burrata,1,4.8 stars out of 5,Exceptional,2,Italian,South Philly
The Victor Cafe - Philadelphia,2,4.9 stars out of 5,Exceptional,2,Italian,South Philly
Mei Mei,9,4.6 stars out of 5,Exceptional,2,Chinese (Taiwan),Old City
Thirsty Dice Board Game Cafe,NA,5 stars out of 5,Exceptional,2,American,"Philadelphia, PA"
Brauhaus Schmitz,NA,4.6 stars out of 5,Exceptional,3,German,Queen Village
Franklin Social Kitchen & Bar,NA,3.7 stars out of 5,Very Good,2,Contemporary American,Old City
Mari byo,NA,4.8 stars out of 5,Exceptional,2,Seafood,Queen Village
Fitz and Starts,NA,4.5 stars out of 5,Awesome,2,American,Queen Village
On Point Bistro,7,4.7 stars out of 5,Exceptional,2,American,South Philly
Jane G's,NA,4.3 stars out of 5,Awesome,2,Chinese,Center City
Laurel,NA,4.8 stars out of 5,Exceptional,4,French,East Passyunk Avenue
BLUME,NA,3.7 stars out of 5,Very Good,2,Burgers,Center City
Fabrika,2,4.6 stars out of 5,Exceptional,4,Mediterranean,Fishtown
Keating's Rope & Anchor Bar + Kitchen,NA,4 stars out of 5,Excellent,2,Contemporary American,"Philadelphia, PA"
Louie Louie Bistro Bar,NA,4.5 stars out of 5,Awesome,2,French American,University City
La Nonna,2,4.8 stars out of 5,Exceptional,2,Italian,South Philly
Anastasi Seafood Restaurant,NA,4.8 stars out of 5,Exceptional,2,Seafood,South Philly
Fond,NA,4.7 stars out of 5,Exceptional,3,Contemporary American,South Philly
Copabanana,NA,4.6 stars out of 5,Exceptional,2,Mexican,University City
